1Channel[V]          mms://202.115.153.187/chanv
2东方卫视              mms://202.115.153.187/dfws
3星空卫视              mms://202.115.153.187/xkwsby
4旅游卫视              mms://202.115.153.187/lyws
5东风卫视              mms://202.115.153.187/dfyl
6华娱卫视              mms://202.115.153.187/hywsby
7ESPN体育            mms://202.115.153.187/espn
8上海体育              mms://202.115.153.187/shty
9劲爆体育              mms://202.115.153.187/geo


10湖南卫视      mms://202.115.153.187/hunan
11凤凰中文      mms://202.115.153.187/fhzx
12凤凰资讯      mms://202.115.153.187/fhzxby
13四川科教      mms://202.115.153.187/sckj
14北京科教      mms://202.115.153.187/bjkj
15浙江卫视      mms://202.115.153.187/zjwsby

16探索频道      mms://202.115.153.187/tsfx
17成都五台       mms://202.115.153.187/cdtv5
18animax动漫          mms://202.115.153.187/animax
19新疆体育台 1线    mms://202.115.153.187/xjtyshjd
20新疆体育台 2线    mms://202.115.153.187/xjtyshjd1
21中国教育1台   mms://202.115.153.187/cetv1
22中国教育3台   mms://202.115.153.187/cetv3
23四川峨嵋电影台   mms://202.115.153.187/scemdy





校园网直播mms地址

51CCTV-1 1线    mms://202.115.153.187/cctv1
52CCTV-1 2线    mms://202.115.153.187/cctv1zkd
53CCTV-1 3线    mms://202.115.153.187/cctv1jl
54CCTV-2 1线    mms://202.115.153.187/cctv2
55CCTV-2 2线    mms://202.115.153.187/cctv2zkd
56CCTV-3 1线    mms://202.115.153.187/cctv3
57CCTV-3 2线    mms://202.115.153.187/cctv3zkd
58CCTV-4         mms://202.115.153.187/cctv4

59CCTV-5 1线    mms://202.115.153.187/cctv5
60CCTV-5 2线    mms://202.115.153.187/cctv5shjd
61CCTV-5 3线    mms://202.115.153.187/cctv5jl
62CCTV-5 4线    mms://202.115.153.187/cctv5zkd
63CCTV-6 1线    mms://202.115.153.187/cctv6
64CCTV-6 2线    mms://202.115.153.187/cctv6zkd
65CCTV-7          mms://202.115.153.187/cctv7

66CCTV-8 1线    mms://202.115.153.187/cctv8by
67CCTV-8 2线    mms://202.115.153.187/cctv8shjd
68CCTV-9 1线    mms://202.115.153.187/cctv9zkd
69CCTV-9 2线    mms://202.115.153.187/cctv9by
70CCTV-10 1线   mms://202.115.153.187/cctv10
71CCTV-10 2线   mms://202.115.153.187/cctv10zkd
72CCTV-11 1线   mms://202.115.153.187/cctv11
73CCTV-12 1线   mms://202.115.153.187/cctv12
74CCTV-12 2线   mms://202.115.153.187/cctv12by

75CCTV少儿      mms://202.115.153.187/cctvse
76CCTVnews 1线   mms://202.115.153.187/cctvnews
77CCTVnews 2线   mms://202.115.153.187/cctvnewszkd
78CCTVmusic      mms://202.115.153.187/cctvmusic
79CCTV-新闻           mms://202.115.153.187/cctvnewsdllg
